STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1932,1932,230,Total Science and Art,£,37525
CEPHA18C01,Government Expenditure on Education,1932,1932,240,Total Reformatory and Industrial Schools,£,117738
CEPHA18C01,Government Expenditure on Education,1932,1932,250,Total Education Expenditure,£,4610723
CEPHA18C01,Government Expenditure on Education,1932,1932,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1932,1932,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1932,1932,290,Office of the Minister for Education,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,300,Department of Education Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,310,Residential Homes and Special Schools,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,320,Other Government Departments,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1932,1932,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,100,Administration,£,160512
CEPHA18C01,Government Expenditure on Education,1933,1933,110,Teacher Training - Primary Education,£,102697
CEPHA18C01,Government Expenditure on Education,1933,1933,120,Teacher Salary - Primary Education,£,3456480
CEPHA18C01,Government Expenditure on Education,1933,1933,130,Teacher Pension - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,135,Teacher Pension (Grants in Aid) - Primary Education,£,74792
CEPHA18C01,Government Expenditure on Education,1933,1933,140,Miscellaneous - Primary Education,£,24443
CEPHA18C01,Government Expenditure on Education,1933,1933,150,Appropriations in Aid (deduct) - Primary Education,£,9433
CEPHA18C01,Government Expenditure on Education,1933,1933,160,Total Primary Education,£,3648979
CEPHA18C01,Government Expenditure on Education,1933,1933,170,Total Secondary Education,£,369310
CEPHA18C01,Government Expenditure on Education,1933,1933,180,State funds - Technical (Vocational),£,203834
CEPHA18C01,Government Expenditure on Education,1933,1933,190,Local rates - Technical (Vocational),£,106087
CEPHA18C01,Government Expenditure on Education,1933,1933,200,Total Technical (Vocational),£,309921
CEPHA18C01,Government Expenditure on Education,1933,1933,210,Total Universities and Colleges,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,220,Total Dublin Institute for Advanced Studies,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,230,Total Science and Art,£,41321
CEPHA18C01,Government Expenditure on Education,1933,1933,240,Total Reformatory and Industrial Schools,£,118895
CEPHA18C01,Government Expenditure on Education,1933,1933,250,Total Education Expenditure,£,4648938
CEPHA18C01,Government Expenditure on Education,1933,1933,260,First Level Education,£,
CEPHA18C01,Government Expenditure on Education,1933,1933,270,Second Level Education (Post Primary),£,
CEPHA18C01,Government Expenditure on Education,1933,1933,280,Third Level Education (Higher Education),£,
CEPHA18C01,Government Expenditure on Education,1933,1933,290,Office of the Minister for Education,£,
